"all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"casual","Sunday",1605.36836288388
"member","Sunday",825.144548589158
"casual","Monday",1370.21681090559
"member","Monday",705.946913677934
"casual","Tuesday",1250.18842599017
"member","Tuesday",715.223911814966
"casual","Wednesday",1184.5408150332
"member","Wednesday",707.787477277673
"casual","Thursday",1197.36974504984
"member","Thursday",705.394316693255
"casual","Friday",1346.2608553192
"member","Friday",730.541537053522
"casual","Saturday",1557.03226000335
"member","Saturday",823.070912108185
